[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       
Tm           69           0.00000E+00  0.00000E+00  0.00000E+00  1.56E-02     8.76E-02     1.96E-01     3.02E-01     3.86E-01     4.46E-01     4.89E-01     5.11E-01     
Yb           70           0.00000E+00  0.00000E+00  0.00000E+00  4.66E-02     2.07E-01     3.96E-01     5.52E-01     6.61E-01     7.36E-01     7.87E-01     8.15E-01     
Lu           71           0.00000E+00  0.00000E+00  0.00000E+00  2.28E-02     1.20E-01     2.55E-01     3.79E-01     4.72E-01     5.37E-01     5.84E-01     6.09E-01     
Hf           72           0.00000E+00  0.00000E+00  0.00000E+00  6.05E-02     2.55E-01     4.71E-01     6.42E-01     7.60E-01     8.39E-01     8.93E-01     9.22E-01     
Ta           73           0.00000E+00  0.00000E+00  0.00000E+00  4.53E-02     2.04E-01     3.97E-01     5.59E-01     6.74E-01     7.53E-01     8.08E-01     8.37E-01     
W            74           0.00000E+00  0.00000E+00  0.00000E+00  6.03E-02     2.60E-01     4.80E-01     6.55E-01     7.74E-01     8.55E-01     9.11E-01     9.41E-01     
Re           75           -6.26E-02    -6.37E-02    -6.37E-02    -4.31E-02    2.04E-02     1.23E-01     2.26E-01     3.11E-01     3.74E-01     4.21E-01     4.47E-01     
Os           76           0.00000E+00  0.00000E+00  0.00000E+00  1.25E-02     5.46E-02     1.22E-01     1.93E-01     2.51E-01     2.94E-01     3.26E-01     3.43E-01     
Ir           77           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.01E-02     3.53E-02     4.93E-02     6.04E-02     6.88E-02     7.33E-02     
Pt           78           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.45E-02     8.42E-02     1.39E-01     1.86E-01     2.21E-01     2.48E-01     2.62E-01     
Au           79           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.70E-02     6.74E-02     1.14E-01     1.56E-01     1.90E-01     2.15E-01     2.29E-01     
Hg           80           0.00000E+00  0.00000E+00  0.00000E+00  4.00E-02     2.02E-01     4.03E-01     5.70E-01     6.88E-01     7.67E-01     8.23E-01     8.52E-01     
Tl           81           0.00000E+00  0.00000E+00  0.00000E+00  4.90E-02     2.57E-01     5.01E-01     6.93E-01     8.23E-01     9.09E-01     9.68E-01     9.98E-01     
Pb           82           0.00000E+00  0.00000E+00  0.00000E+00  1.44E-02     1.17E-01     2.88E-01     4.54E-01     5.79E-01     6.66E-01     7.27E-01     7.58E-01     
Bi           83           0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.55E-02     3.38E-02     5.45E-02     7.38E-02     9.03E-02     1.00E-01     
