[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        
W            74           0.00000E+00  4.22E-01     8.07E-01     1.04E+00     1.23E+00     1.36E+00     1.45E+00     1.51E+00     1.56E+00     1.59E+00     
Re           75           -8.91E-02    1.25E-01     3.89E-01     5.85E-01     7.74E-01     8.99E-01     9.86E-01     1.05E+00     1.10E+00     1.13E+00     
Os           76           0.00000E+00  1.49E-01     3.43E-01     4.95E-01     6.48E-01     7.56E-01     8.35E-01     8.93E-01     9.37E-01     9.65E-01     
Ir           77           0.00000E+00  2.36E-02     6.61E-02     1.11E-01     1.67E-01     2.16E-01     2.56E-01     2.88E-01     3.14E-01     3.31E-01     
Pt           78           0.00000E+00  9.55E-02     2.28E-01     3.38E-01     4.53E-01     5.40E-01     6.05E-01     6.56E-01     6.95E-01     7.20E-01     
Au           79           0.00000E+00  8.59E-02     2.16E-01     3.24E-01     4.36E-01     5.17E-01     5.78E-01     6.24E-01     6.60E-01     6.83E-01     
Hg           80           0.00000E+00  4.85E-01     8.82E-01     1.10E+00     1.29E+00     1.41E+00     1.49E+00     1.55E+00     1.60E+00     1.63E+00     
Tl           81           0.00000E+00  5.17E-01     9.61E-01     1.21E+00     1.41E+00     1.54E+00     1.62E+00     1.68E+00     1.73E+00     1.76E+00     
Pb           82           0.00000E+00  1.18E+00     1.88E+00     2.23E+00     2.44E+00     2.57E+00     2.66E+00     2.73E+00     2.77E+00     2.80E+00     
Bi           83           0.00000E+00  7.59E-01     1.25E+00     1.54E+00     1.74E+00     1.88E+00     1.98E+00     2.06E+00     2.12E+00     2.15E+00     
