[El/Fe]      Z            FDU          TDU_1        TDU_2        TDU_3        TDU_4        TDU_5        TDU_6        TDU_7        TDU_8        TDU_9        TDU_10       TDU_11       TDU_12       TDU_13       
Ba           56           0.00000E+00  0.00000E+00  2.68E-01     6.09E-01     8.86E-01     1.05E+00     1.15E+00     1.23E+00     1.30E+00     1.35E+00     1.40E+00     1.45E+00     1.49E+00     1.50E+00     
La           57           0.00000E+00  0.00000E+00  2.77E-01     6.27E-01     9.06E-01     1.07E+00     1.17E+00     1.25E+00     1.32E+00     1.38E+00     1.42E+00     1.48E+00     1.52E+00     1.53E+00     
Ce           58           0.00000E+00  0.00000E+00  3.25E-01     7.14E-01     1.01E+00     1.17E+00     1.28E+00     1.36E+00     1.42E+00     1.48E+00     1.53E+00     1.58E+00     1.62E+00     1.63E+00     
Pr           59           0.00000E+00  0.00000E+00  2.36E-01     5.62E-01     8.44E-01     1.01E+00     1.12E+00     1.21E+00     1.28E+00     1.34E+00     1.38E+00     1.44E+00     1.48E+00     1.49E+00     
Nd           60           0.00000E+00  0.00000E+00  2.74E-01     6.36E-01     9.18E-01     1.08E+00     1.18E+00     1.26E+00     1.32E+00     1.38E+00     1.43E+00     1.48E+00     1.52E+00     1.52E+00     
Pm           61           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           \N           
Sm           62           0.00000E+00  0.00000E+00  1.86E-01     4.70E-01     7.16E-01     8.65E-01     9.74E-01     1.05E+00     1.12E+00     1.19E+00     1.23E+00     1.29E+00     1.33E+00     1.34E+00     
Eu           63           0.00000E+00  0.00000E+00  4.26E-02     1.39E-01     2.58E-01     3.49E-01     4.24E-01     4.83E-01     5.37E-01     5.86E-01     6.27E-01     6.73E-01     7.12E-01     7.18E-01     
Gd           64           0.00000E+00  0.00000E+00  1.04E-01     2.94E-01     4.97E-01     6.35E-01     7.42E-01     8.24E-01     8.96E-01     9.60E-01     1.01E+00     1.07E+00     1.12E+00     1.12E+00     
Tb           65           0.00000E+00  0.00000E+00  6.02E-02     1.84E-01     3.30E-01     4.39E-01     5.26E-01     5.96E-01     6.59E-01     7.16E-01     7.63E-01     8.17E-01     8.60E-01     8.66E-01     
Dy           66           0.00000E+00  0.00000E+00  1.01E-01     2.91E-01     4.78E-01     6.03E-01     7.01E-01     7.78E-01     8.46E-01     9.08E-01     9.59E-01     1.02E+00     1.06E+00     1.07E+00     
Ho           67           0.00000E+00  0.00000E+00  5.32E-02     1.74E-01     3.08E-01     4.04E-01     4.82E-01     5.45E-01     6.03E-01     6.57E-01     7.02E-01     7.54E-01     7.93E-01     7.97E-01     
Er           68           0.00000E+00  0.00000E+00  1.12E-01     3.33E-01     5.42E-01     6.71E-01     7.69E-01     8.45E-01     9.12E-01     9.74E-01     1.02E+00     1.08E+00     1.13E+00     1.13E+00     
Tm           69           0.00000E+00  0.00000E+00  6.74E-02     2.27E-01     3.88E-01     4.92E-01     5.74E-01     6.39E-01     6.99E-01     7.55E-01     8.03E-01     8.56E-01     9.00E-01     9.08E-01     
Yb           70           0.00000E+00  0.00000E+00  2.21E-01     5.58E-01     8.30E-01     9.81E-01     1.09E+00     1.17E+00     1.24E+00     1.30E+00     1.35E+00     1.41E+00     1.46E+00     1.46E+00     
Lu           71           0.00000E+00  0.00000E+00  1.62E-01     4.51E-01     6.99E-01     8.38E-01     9.39E-01     1.01E+00     1.08E+00     1.14E+00     1.18E+00     1.24E+00     1.28E+00     1.29E+00     
Hf           72           0.00000E+00  0.00000E+00  2.88E-01     6.49E-01     9.35E-01     1.09E+00     1.21E+00     1.29E+00     1.36E+00     1.43E+00     1.48E+00     1.54E+00     1.58E+00     1.59E+00     
Ta           73           0.00000E+00  0.00000E+00  2.52E-01     5.99E-01     8.72E-01     1.03E+00     1.13E+00     1.21E+00     1.28E+00     1.35E+00     1.40E+00     1.46E+00     1.50E+00     1.51E+00     
W            74           0.00000E+00  0.00000E+00  3.08E-01     6.98E-01     9.83E-01     1.14E+00     1.24E+00     1.32E+00     1.39E+00     1.45E+00     1.50E+00     1.55E+00     1.60E+00     1.60E+00     
Re           75           -6.05E-02    -6.40E-02    6.91E-02     3.21E-01     5.59E-01     7.00E-01     7.99E-01     8.70E-01     9.34E-01     9.91E-01     1.04E+00     1.09E+00     1.14E+00     1.15E+00     
Os           76           0.00000E+00  0.00000E+00  9.04E-02     2.63E-01     4.53E-01     5.79E-01     6.72E-01     7.40E-01     8.00E-01     8.55E-01     9.02E-01     9.53E-01     9.95E-01     1.00E+00     
Ir           77           0.00000E+00  0.00000E+00  1.23E-02     4.49E-02     9.55E-02     1.39E-01     1.78E-01     2.10E-01     2.41E-01     2.71E-01     2.97E-01     3.28E-01     3.54E-01     3.59E-01     
Pt           78           0.00000E+00  0.00000E+00  4.66E-02     1.54E-01     2.84E-01     3.82E-01     4.62E-01     5.24E-01     5.81E-01     6.34E-01     6.79E-01     7.30E-01     7.70E-01     7.76E-01     
Au           79           0.00000E+00  0.00000E+00  3.94E-02     1.43E-01     2.62E-01     3.48E-01     4.17E-01     4.69E-01     5.18E-01     5.63E-01     6.03E-01     6.48E-01     6.85E-01     6.90E-01     
Hg           80           0.00000E+00  0.00000E+00  2.89E-01     6.87E-01     9.83E-01     1.14E+00     1.26E+00     1.33E+00     1.39E+00     1.45E+00     1.50E+00     1.55E+00     1.59E+00     1.60E+00     
Tl           81           0.00000E+00  0.00000E+00  3.72E-01     8.15E-01     1.12E+00     1.28E+00     1.39E+00     1.47E+00     1.54E+00     1.59E+00     1.64E+00     1.69E+00     1.73E+00     1.74E+00     
Pb           82           0.00000E+00  0.00000E+00  1.39E+00     1.93E+00     2.23E+00     2.42E+00     2.54E+00     2.62E+00     2.69E+00     2.74E+00     2.78E+00     2.82E+00     2.85E+00     2.85E+00     
Bi           83           0.00000E+00  0.00000E+00  7.36E-01     1.22E+00     1.53E+00     1.75E+00     1.91E+00     2.02E+00     2.11E+00     2.18E+00     2.24E+00     2.29E+00     2.33E+00     2.33E+00     
