name		Na	    Mg       Al     Si      Ca      Ti      Cr      Ni  	Y       Zr      xLa      Ce      Nd	    mass
HD39778		-0.04	-0.02	-0.02	0.09	0.11	-0.02	-0.02	-0.05	0.85	0.72	1.09	1.05	0.81    3.0
HD41701		0.11	0.25	0.00	0.19	0.15	-0.02	0.01	0.04	0.48	0.22	0.52	0.40	0.24    3.0
#HD42700	0.18	0.24	0.18	0.34	0.18	-0.04	-0.11	0.08	0.02	0.16	0.25	0.25	0.15    3.0
HD45483		-0.03	0.27	0.10	0.13	0.02	0.00	-0.01	-0.04	0.75	0.55	0.82	0.56	0.44    4.0
HD48814		0.05	-0.01	-0.01	0.15	0.07	-0.01	-0.01	0.05	0.52	0.26	0.29	0.33	0.21    3.0
HD49017		0.07	0.13	-0.02	0.10	0.04	-0.01	-0.01	-0.02	0.11	0.07	0.31	0.49	0.25    3.0
HD49661		0.19	0.01	0.02	0.18	0.08	0.02	-0.04	-0.01	0.12	0.19	0.42	0.39	0.18    4.0
HD49778		0.41	0.26	0.26	0.19	0.23	0.02	0.05	0.02	0.12	0.21	0.40	0.39	0.32    3.0
HD50075		-0.08	0.21	0.04	0.17	0.10	0.00	0.02	0.00	0.72	0.54	1.08	0.99	0.83    2.0
HD50843		0.15	0.22	0.31	0.27	0.20	-0.05	-0.03	0.09	0.26	0.15	0.67	0.75	0.52    2.0
#HD51315	0.18	0.05	0.00	0.18	0.09	-0.02	-0.11	-0.04	0.04	0.34	0.21	0.10	0.00    5.0
HD53199		0.28	0.18	0.12	0.19	0.21	-0.04	-0.02	0.03	0.68	0.70	1.06	0.93	0.77    3.0
HD58121		0.23	-0.10	0.10	0.25	0.01	-0.01	0.00	0.04	0.41	0.26	0.50	0.36	0.16    5.0
HD62017		0.26	0.32	0.36	0.28	0.36	0.02	-0.02	-0.01	0.80	0.63	0.99	0.81	0.59    4.0
HD88495		0.12	0.15	0.08	0.21	0.11	0.03	0.01	0.10	0.68	0.66	0.79	0.75	0.43    2.0
HD90167		0.03	0.06	0.03	0.07	0.13	-0.05	0.03	0.02	0.53	0.48	0.32	0.39	0.22    3.0
HD95193		0.03	0.14	-0.02	0.16	0.05	-0.02	0.00	0.03	0.75	0.48	0.68	0.46	0.39    3.0
#HD95345	0.06	0.26	0.06	0.25	0.09	-0.03	-0.04	0.09	0.12	-0.10	0.17	0.31	0.22    2.0
HD107270	0.33	0.26	0.01	0.07	-0.02	-0.02	0.04	0.10	0.64	0.73	0.42	0.28	0.25    3.0
HD109061	0.17	0.49	0.36	0.33	0.27	0.10	-0.01	0.08	0.68	0.44	0.80	0.77	0.67    2.0
HD113195	0.18	0.20	0.18	0.26	0.22	0.05	-0.01	0.06	0.66	0.48	0.56	0.52	0.33    3.0
HD115277	0.03	-0.07	0.01	0.12	0.01	0.00	0.01	0.06	0.59	0.45	0.32	0.36	0.19    3.0
HD119650	0.05	-0.12	0.00	0.21	0.03	-0.13	-0.01	-0.01	0.41	0.17	0.31	0.27	0.25    5.0
HD134698	0.28	0.38	0.39	0.31	0.22	0.21	0.02	0.06	0.56	0.59	0.65	0.53	0.40    1.5
HD139266	0.24	0.20	0.26	0.26	0.21	-0.02	-0.02	0.09	0.95	0.61	1.65	0.92	0.94    2.0
HD139409	0.17	0.45	0.31	0.41	0.33	0.24	-0.03	0.08	0.68	0.47	0.62	0.48	0.28    1.5
#HD142491	0.14	-0.07	-0.01	0.18	0.09	-0.04	-0.05	0.03	0.06	-0.02	0.31	0.27	0.20    4.0
#HD147136	0.16	-0.01	-0.02	0.14	0.02	-0.02	-0.14	-0.03	0.00	-0.05	0.34	0.26	0.16    4.0
HD148892	0.26	0.15	0.01	0.19	0.16	0.01	0.01	0.03	0.88	0.59	1.21	0.71	0.70    3.0
#HD168986	0.23	-0.05	0.04	0.18	0.09	-0.02	-0.11	-0.05	0.07	-0.11	0.09	0.23	0.05    6.0
HD169106	0.36	-0.22	0.01	0.28	0.10	-0.03	-0.03	0.05	0.48	0.33	0.43	0.35	0.27    4.0
#HD174204	0.09	0.04	0.13	0.22	0.06	-0.01	-0.01	0.02	-0.11	-0.07	0.07	0.19	0.13    4.0
HD184001	0.45	0.35	0.11	0.29	0.21	0.10	0.02	0.10	0.57	0.64	0.70	0.67	0.47    3.0
HD204886	0.19	0.04	0.03	0.06	-0.01	-0.06	0.07	-0.06	0.68	0.64	1.22	0.71	0.89    3.0
#HD212484	0.08	0.22	0.18	0.22	0.08	0.03	-0.06	0.01	-0.18	0.08	0.04	-0.08	0.04    2.0
HD213084	0.04	-0.03	0.05	0.08	0.07	0.00	0.03	0.02	0.80	0.72	1.10	0.91	0.89    2.5
HD223938	0.18	0.27	0.16	0.30	0.25	0.06	-0.02	0.05	0.72	0.53	0.92	0.97	0.84    2.0
MFU214		-0.07	0.01	-0.07	0.12	-0.03	-0.01	-0.03	0.03	0.60	0.31	0.25	0.19	0.16    3.0
MFU229		0.10	-0.04	0.02	0.13	0.05	-0.06	0.02	0.05	0.67	0.56	0.57	0.51	0.40    3.0
HD12392		-0.07	-0.02	0.08	0.08	-0.02	-0.09	0.02	-0.02	1.15	0.83	2.02	1.45	1.44    1.5
HD17067		0.18	0.37	0.35	0.30	0.22	0.17	0.03	0.01	0.83	0.83	1.89	1.02	1.08    1.5
HD90127		0.33	0.41	0.33	0.35	0.24	0.15	-0.01	0.07	0.72	0.67	1.19	0.83	0.74    1.5
HD102762	0.19	0.46	0.12	0.22	0.02	0.08	-0.06	0.00	0.85	0.86	1.99	1.23	1.30    2.0
HD114678	0.55	0.18	0.28	0.23	0.27	0.03	0.06	0.02	1.06	1.01	1.57	1.37	1.25    3.0
HD180622	-	    0.00	0.29	0.33	-	    0.05	-0.01	0.07	0.61	0.41	0.48	0.27	0.41    3.0
HD200063	0.24	0.39	0.23	0.14	-0.11	-0.05	-	    -0.08	0.88	0.62	1.33	0.93	0.88    2.0
HD210030	0.07	0.12	0.08	0.11	0.12	-0.02	-0.10	0.00	0.42	0.29	0.33	0.29	0.21    5.0
HD214889	0.17	0.10	0.14	0.22	0.11	0.00	-0.06	0.06	0.69	0.53	0.71	0.63	0.44    2.0
HD215555	-0.07	0.06	0.10	0.09	0.08	0.01	0.03	-0.07	0.99	0.80	0.85	0.88	0.65    2.0
HD216809	-	    -0.03	0.17	0.00	0.17	0.08	-	    -0.08	0.45	0.69	0.64	0.34	0.49    6.0
HD221879	0.23	-0.04	0.26	0.00	0.11	0.07	0.00	-0.08	0.93	0.83	0.91	0.44	0.62    6.0
#BD-01302	0.08	0.39	0.26	0.27	0.32	0.30	-0.04	0.03	-0.17	-0.11	0.00	0.35	0.16    2.0
HD749		0.13	0.38	0.23	0.27	0.12	0.12	-0.02	0.10	0.95	0.82	1.46	1.00	0.89    2.0
HD88927		0.08	0.00	0.12	0.17	0.15	-0.03	-0.11	0.00	0.49	0.32	0.30	0.31	0.12    2.5
#HD211221	-0.06	0.19	-0.01	0.16	0.07	-0.04	0.01	-0.02	-0.19	-0.02	0.13	0.25	0.15    3.0
BD+092384	0.38	0.38	0.33	0.39	0.42	0.15	-0.04	-0.02	0.33	0.80	0.85	1.06	0.73    1.0
HD89638		0.29	0.15	0.09	0.20	0.15	-0.07	-0.04	0.03	0.55	0.37	0.71	0.78	0.54    3.0
HD187762	0.11	0.35	0.25	0.27	0.21	0.16	-0.05	0.06	0.22	0.24	0.60	0.61	0.41    2.0
