name		err_Na	err_Mg    err_Al     err_Si    err_Ca    err_Ti     err_Cr    err_Ni    err_Y     err_Zr      xLa      err_Ce     err_Nd
HD41701     ---  0.19   0.15    0.10   0.07   0.08   0.04   0.13 	0.11   0.15    0.17     0.13    0.11
HD42700     not a Ba star
HD45483     ---  0.16   0.22    0.11   0.09   0.11   0.11   0.11 	0.08   0.14    0.07     0.10    0.17
HD48814     ---  0.16   0.13    0.08   0.11   0.07   0.04   0.11 	0.07   0.18    0.10     0.12    0.12
HD49017     ---  0.13   0.26    0.07   0.09  0.08   0.06   0.09 	0.11   0.05     0.09     0.20    0.08
HD49661     ---  0.18   0.18    0.07   0.11  0.07   0.06   0.11	0.12   0.10     0.18     0.16    0.15
HD49778     0.09 0.24   0.21    0.16   0.16  0.04   0.04   0.04  0.18   0.11    0.10     0.07    0.10
HD50075     ---  0.15   0.10    0.11   0.14  0.14   0.01   0.08  0.07   0.08    0.11     0.11    0.09
HD50843     0.15 0.17   0.17    0.11   0.17  0.09   0.04   0.08  0.21   0.18    0.03     0.21    0.10
HD51315     not a Ba star
HD53199     0.17 0.22   0.11    0.15   0.14  0.09   0.04   0.09  0.06   0.09     0.14     0.19    0.10
HD58121     ---  0.15   0.15    0.08   ---    0.10   0.05   0.14  0.07   0.17    0.14     0.09    0.16
HD62017     0.17 0.13   0.15    0.11   0.19  0.09   0.07   0.14  0.14   0.10     0.14     0.14    0.10
HD88495     ---  0.22   0.09    0.06   0.12   0.08   0.07   0.11  0.11   0.17    0.13     0.13    0.12
HD90167     ---  0.17   0.24    0.07   0.13  0.15   0.12   0.08  0.16   0.20     0.08     0.13    0.12
HD95193     ---  0.17   0.12    0.13   0.07   0.05   0.07   0.11	0.08   0.09    0.08     0.16    0.12
HD95345     not a Ba star
HD107270    ---  0.13   0.14    0.07   0.09   0.11   0.10   0.14  ---    0.18    ---      0.14    0.09
HD109061    0.17 0.25   0.13    0.13   0.14  0.09   0.03   0.07  0.15   0.07     0.05     0.05    0.10
HD113195    ---  0.17   0.18    0.14   0.16  0.13   0.05   0.08  0.15   0.14    0.07     0.19    0.14
HD115277    ---  0.17   0.10    0.09   0.05   0.09   0.01   0.13  0.15   0.15    0.12     0.16    0.14
HD119650    ---  0.05   0.13    0.14   0.11   0.15   0.05   0.15  0.14   0.05     0.16     0.10    0.18
HD134698    0.04 0.16   0.11    0.13   0.15  0.13   0.05   0.12  ---    0.17    0.11     0.11    0.18
HD139266    ---  0.06   0.12    0.16   0.06   0.18   0.08   0.11  0.29   0.14    0.31     0.14    0.18
HD139409    0.18 0.17   0.10    0.07   0.15  0.18   0.11   0.10  0.13   0.13    0.10     0.14    0.10
HD142491    not a Ba star
HD147136    not a Ba star
HD148892    ---  0.13   0.04    0.14   0.12  0.08   0.09   0.12  0.19   0.14    0.15     0.14    0.08
HD168986    not a Ba star
HD169106    ---  0.08   0.12    0.15   0.15   0.06   0.03   0.11  0.03   0.12    0.10     0.14    0.10
HD174204    not a Ba star
HD184001    ---  0.20   0.09    0.08   0.14  0.10   0.04   0.09  0.21   0.15    0.13     0.14    0.16
HD204886    ---  0.24   0.26    0.07   0.08   0.15    ---    0.12  0.13
HD212484    not a Ba star
HD213084    ---  0.16   0.14    0.09   0.13  0.13   0.04   0.08  0.07   0.16    0.09     0.08    0.12
HD223938    0.07 0.12   0.12    0.09   0.10   0.12   0.09   0.10 	0.17   0.11     0.09     0.19    0.12
MFU214      ---  0.18   ---     0.12   0.03   0.07   0.04   0.11 	0.17   0.12    0.06     0.10    0.07
MFU229      ---  0.16   0.11    0.10   0.05   0.09   0.05   0.10 	0.07   0.12    0.11     0.22    0.10
HD12392     ---  0.18   0.24    0.12   0.12  0.12   0.04   0.13 	0.21   0.17    0.16     0.16    0.15
HD17067     ---  0.25   0.15    0.09   0.19   0.18   ---    0.12 	0.16   0.17    0.27     0.13    0.08
HD90127     ---  0.22   0.05    0.09   0.12   0.16   ---    0.10  	0.17   0.16    0.07     0.13    0.16
HD102762    ---  0.41   0.13    0.27   0.06   0.13   0.16   0.18 	0.36   0.17    0.02     0.19    0.14
HD114678    0.13 0.10   0.16    0.09   0.17  0.06   0.11   0.05 	0.10   0.12     0.20     0.14    0.11
HD180622    ---     0.10   0.13    0.14   ---       0.17   0.01   0.14 	0.15   0.17    0.22     0.07    0.17
HD200063    ---  0.13   0.13    0.15   0.15   0.11   ---       0.11 	0.12   0.18    0.46     0.26    0.18
HD210030    ---  0.16   0.15    0.16   0.14   0.09   0.02   0.13 	0.13   0.06    0.07     0.11    0.17
HD214889    0.16 0.11   0.12    0.16   0.10  0.11   0.05   0.12 	0.11   0.12    0.08     0.18    0.12
HD215555    ---  0.18   0.29    0.12   0.10  0.09   0.11   0.09 	0.11   0.15    0.09     0.13    0.06
HD216809    ---     0.12   0.02    0.10   ---    0.14    ---       0.11 	0.39   0.14    0.22     0.19    0.17
HD221879    ---  0.12   0.18    0.17   ---    0.15    ---    0.11 	0.27   0.15    0.25     0.11    0.17
BD-01302    not a Ba star
HD749       0.19 0.16   0.11    0.08   0.17  0.13   0.08   0.11 	0.13   0.12    0.05     0.13    0.08
HD88927     ---  0.11   0.14    0.11   0.11   0.09   0.00   0.13 	0.12   0.16    0.14     0.17    0.06
HD211221    not a Ba star
BD+092384   0.07 0.12  0.14    0.11   0.08   0.05   0.15   0.08 	0.06   0.15     0.15     0.16    0.09
HD89638     0.20 0.18   0.17    0.06   0.12  0.09   0.05   0.09 	0.08   0.09    0.05     0.13    0.09
HD187762    0.14 0.14  0.11    0.08   0.16  0.12   0.07   0.07 	0.30   0.03     0.09     0.21    0.10
